Game_Date,Pitcher,line,odds,Predicted_K,edge,bet_recommendation,confidence,Strikeouts,Result
2025-05-26,gavin williams,5.5,-143,3.761560514385665,-1.7384394856143357,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-26,yoshinobu yamamoto,6.5,-114,2.6618503694581284,-3.838149630541872,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-26,zack littell,4.5,124,2.027564655172414,-2.472435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,andrew heaney,3.5,-127,1.5624088997168084,-1.937591100283192,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,jack kochanowicz,3.5,-115,0.8475646551724138,-2.652435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,randy vasquez,4.5,161,2.5608979885057472,-1.9391020114942528,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,ryan weathers,4.5,128,2.262250169558078,-2.237749830441922,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,ryan yarbrough,3.5,-143,0.7946311219390304,-2.7053688780609697,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-27,ryne nelson,4.5,100,0.82727480009995,-3.67272519990005,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,cade povich,4.5,-137,2.295873357963876,-2.2041266420361243,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,hunter greene,5.5,-164,2.0948938477189976,-3.4051061522810024,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,kyle hart,3.5,-156,2.242250169558078,-1.257749830441922,âœ… Under,ğŸ”¥ğŸ”¥,,No Data
2025-05-28,lance mccullers jr.,4.5,-149,2.3282271810523314,-2.1717728189476686,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,luis severino,4.5,-123,2.532564655172414,-1.967435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,miles mikolas,3.5,-116,1.610027947335856,-1.889972052664144,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,noah cameron,4.5,-116,2.460897988505747,-2.039102011494253,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,paul skenes,6.5,105,4.046875,-2.453125,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,sandy alcantara,4.5,120,3.535583502891412,-0.964416497108588,âœ… Under,ğŸ”¥,,No Data
2025-05-28,zac gallen,6.5,112,3.587564655172414,-2.912435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,zack wheeler,6.5,-135,2.475873357963876,-4.024126642036125,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,hunter greene,6.5,120,2.0948938477189976,-4.405106152281002,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
2025-05-28,kyle hart,3.5,-154,2.242250169558078,-1.257749830441922,âœ… Under,ğŸ”¥ğŸ”¥,,No Data
2025-05-28,zack wheeler,6.5,-141,2.475873357963876,-4.024126642036125,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,No Data
