game_date,player,line,odds,predicted_SO,edge,bet_recommendation,confidence
2025-05-28,cade povich,4.5,-137,2.295873357963876,-2.2041266420361243,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,hunter greene,5.5,-164,2.0948938477189976,-3.4051061522810024,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,kyle hart,3.5,-156,2.242250169558078,-1.257749830441922,âœ… Under,ğŸ”¥ğŸ”¥
2025-05-28,lance mccullers jr.,4.5,-149,2.3282271810523314,-2.1717728189476686,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,luis severino,4.5,-123,2.532564655172414,-1.967435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,miles mikolas,3.5,-116,1.610027947335856,-1.889972052664144,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,noah cameron,4.5,-116,2.460897988505747,-2.039102011494253,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,paul skenes,6.5,105,4.046875,-2.453125,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,sandy alcantara,4.5,120,3.535583502891412,-0.964416497108588,âœ… Under,ğŸ”¥
2025-05-28,zac gallen,6.5,112,3.587564655172414,-2.912435344827586,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
2025-05-28,zack wheeler,6.5,-135,2.475873357963876,-4.024126642036125,âœ… Under,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥
